"Date","Tank","Treatment","Salinity","Temperature","pH","CO2","pCO2","HCO3","CO3","DIC","TA","Aragonite.Sat"
20190128,"20190128_TANK1","low",28.79,11.81,7.04248132960318,183.108586474332,4288.27777547362,2021.44267772471,12.5711151602533,2217.1223793593,2052.605561,0.195144773809161
20190128,"20190128_TANK2","low",28.98,11.98,6.9786336711096,209.317134425307,4934.24546115336,2007.57677880863,10.9035199279461,2227.79743316189,2034.633565,0.169270402661851
20190128,"20190128_TANK3","amb",29,11.97,7.67164621500787,40.1721281098484,946.768817493167,1900.17985622135,50.9047963910001,1991.2567807222,2027.114534,0.790210295266947
20190128,"20190128_TANK4","amb",28.99,11.93,7.67396928074289,39.9843675051774,941.081829409179,1899.34538601527,51.0623845660377,1990.39213808648,2026.680002,0.792586754848582
20190128,"20190128_TANK5","low-variable",28.96,11.83,7.51089118094887,60.1359569559401,1410.59808782975,1956.79764112436,35.9693811109644,2052.90297919126,2046.338209,0.558197552211926
20190128,"20190128_TANK6","amb",29,11.89,7.68336533283958,39.2154847941076,921.853396655967,1901.88964838199,52.1812575244519,1993.28639070055,2031.958384,0.809848436094668
20190130,"20190130_TANK1","low",28.94,11.62,7.00530558074817,NA,NA,NA,NA,NA,NA,NA
20190130,"20190130_TANK2","low",29.1,12.46,7.04357652798982,NA,NA,NA,NA,NA,NA,NA
20190130,"20190130_TANK3","amb",28.96,12.17,7.6544835047584,NA,NA,NA,NA,NA,NA,NA
20190130,"20190130_TANK4","amb",28.98,12.07,7.646993686378,NA,NA,NA,NA,NA,NA,NA
20190130,"20190130_TANK5","low-variable",28.9,11.67,7.63467399742176,NA,NA,NA,NA,NA,NA,NA
20190130,"20190130_TANK6","amb",28.96,12.07,7.6717313693636,NA,NA,NA,NA,NA,NA,NA
20190131,"20190131_TANK1","low",28.68,12.32,7.0098841796069,192.053938532884,4568.97085406213,1989.3590367807,11.6735818661022,2193.08655717968,2018.336742,0.181511042495653
20190131,"20190131_TANK2","low",28.72,12.5,6.95712930115457,214.802665919872,5140.71011211133,1980.12916334239,10.3734630229803,2205.30529228525,2005.876857,0.161365644695738
20190131,"20190131_TANK3","amb",28.72,12.44,7.68822919431946,37.8310341533845,903.640120312259,1874.83173720105,52.7569396949814,1965.41971104941,2006.384886,0.820525092468469
20190131,"20190131_TANK4","amb",28.71,12.34,7.68405447838971,38.3547781170773,913.185698448364,1877.76741940599,52.1173134641739,1968.23951098724,2007.723258,0.81036173446779
20190131,"20190131_TANK5","low-variable",28.73,12.41,7.63385442012416,NA,NA,NA,NA,NA,NA,NA
20190131,"20190131_TANK6","amb",28.7,12.49,7.70884134332947,NA,NA,NA,NA,NA,NA,NA
20190201,"20190201_TANK1","low",28.47,12.16,6.96558426595527,NA,NA,NA,NA,NA,NA,NA
